job_title,job_category,client_name,fee,description
wordpressでのコーポレートサイト制作,レスポンシブサイト制作,taketake0721,"200,000円~300,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景wordpressでのコーポレートサイト制作をお願いします。トップページの一部にアニメーションを利用して印象的なサイトにしたいです。納品後に自分たちでも編集できるような形で納品していただきたいです。■ 期待する効果・スマートフォンに対応させたい■ ターゲット像・10代・20代・男性・女性・学生、副業...
意匠系設計事務所のホームページ制作,ホームページ制作・作成,yukonakahara,"100,000円~200,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景弊社のホームページをリニューアルしたいため■ 期待する効果・スマートフォンに対応させたい・サイトが古いのでリニューアルしたい■ ターゲット像・20代・30代・40代・50代・60代・男性・女性・その他■ ページ数1 ～ 5ページ■ スマホ対応の有無PCサイトとスマートフォン用サイト■...
LP制作-妊娠線クリーム/経験者優遇/デザイン重視,ランディングページ（LP）制作,株式会社ニューアクション,"200,000円~300,000円 / 固定",■ 依頼の目的・背景新商品の妊娠線クリームのLP制作一式をお願い致します。デザイン制作～コーディングまで一括でお願い致します。データ一式のご納品で完了となります。デザインデータに関してはpsdデータでのご納品をお願い致します。デバイスはSPのみのデザインで横狭でPCにも対応する感じを考えております。構成案を作成しておりますのでそちらをご参考にお願い致します。...
人材紹介会社のホームページ作成,ホームページ制作・作成,株式会社Iwayama,"100,000円~200,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景この度提携企業様、求職者様にも明瞭で分かりやすいHPを作成したいと思っております。イメージとしてはシンプルかつスタイリッシュなHP希望です。■ 期待する効果・スマートフォンに対応させたい■ ターゲット像・20代・30代・40代・男性・女性・その他■ ページ数1 ～ 5ページ■ スマホ対応の有無...
求人サービスページの作成,ホームページ制作・作成,株式会社ウェブプラン,"100,000円~200,000円 / 固定",■ サイトの種類採用・求人サイト■ 依頼の目的・背景弊社採用サービスのサービス紹介ページ及びランディングページの機能をもったページの作成をお願いします。※他にも作成していただきたいサイトがあり、別案件も別途お願いすることを検討しております。■ 期待する効果・検索エンジンの上位に表示してアクセスを増やしたい・商品、サービスの認知度を上げたい・問い合わせを増やして...
英語教材のホームページ制作,ホームページ制作・作成,株式会社アルマ出版,"300,000円~500,000円 / 固定",■ サイトの種類メディアサイト■ 依頼の目的・背景弊社の英語教科書『Ibunka!』発刊に伴い、音声や教員用教材などの補助教材を提供するサイトを制作します。WordPressの使用を検討しています。今回のサイトは、今後刊行予定の教科書に関する同様の補助教材サイトのテンプレートとしても使っていきたいと考えています。詳しくはこちらの提案依頼書をご覧下さい：https://...
IT企業コーポレートサイトのデザイン・コーディング,レスポンシブサイト制作,のらねこワークス株式会社,"200,000円~300,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景ホームページのリニューアルをデザインからコーディングまで対応できる方を募集しています。会社の想いを伝えるページを作成することが目的です。内容はプロのライターに依頼しておりますので、その内容をもとに見た人に伝わるようなデザインをお願いします。参考URLに現行のホームページを載せていますが、現行ページを踏襲する必要は一切あ...
弊社クライアントのコーポレートサイト制作をしていただける方を募集致します。,レスポンシブサイト制作,NST_Cr,"300,000円~500,000円 / 固定",■ 依頼の目的・背景弊社クライアント（ビルメンテナンスなどを行っている企業）のコーポレートサイトを制作していただける方を募集致します。【 概要 】ビルメンテナンス、電気設備の点検・保守などを行っている企業様のコーポレートサイトの制作です。依頼する作業内は以下のとおりです。・デザイン（PSD納品）・レスポンシブコーディング（PC・SPの2デバイス）・お問い合...
飲食系のLPデザイン制作 3P（レスポンシブ）,レスポンシブサイト制作,snowdrop,"50,000円~100,000円 / 固定","■ 依頼の目的・背景LP制作を定期的に行なっています。綺麗なデザインが作れる方を探しています。紙・グラフィック経験のある方歓迎！Webデザインの実務経験者を希望しています。予算は100,000-150,000円程度を想定しています。定期案件ですのでテイストやスキームを理解できると作業はスムーズにできると思います。■ ターゲット像・20代・30代・40代・..."
格安SIM販売のサポート事業（MVNE）のホームページ制作,ホームページ制作・作成,(株)オフショアブリッジコンシェルジュ,"100,000円~200,000円 / 固定",■ サイトの種類企業サイト■ 依頼の目的・背景弊社の主力事業である格安SIMの卸事業であるMVNE事業を専門としたホームページ制作を依頼したいです。■ 期待する効果・商品、サービスの認知度を上げたい・問い合わせを増やして新規リードを獲得したい・スマートフォンに対応させたい・サイトが古いのでリニューアルしたい■ ターゲット像・30代・40代・50代・...
LPコーディング（1P）,HTML・CSSコーディング,yanagawa_bk,"20,000円~50,000円 / 固定",■ 依頼の目的・背景LPのコーディング依頼をお願いいたします。簡単な動き、動画埋め込みあり■ 開発の継続性今回のみ、開発をお願いいたします。■ 対応ページ数なし■ 用意してある素材イラストレータ■ 重視する点予算、納期、クオリティ、業務経験・知識■ 希望スキル■ 希望CMS■ 補足説明なし
